subject,Start date,Start time,End date,End time,All Day Event,Description,Location, Private
Jobb,2018-04-03,07:45,2018-04-03,16:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-04,09:00,2018-04-04,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-05,07:45,2018-04-05,16:00,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-09,07:45,2018-04-09,17:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-10,15:00,2018-04-10,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-11,07:45,2018-04-11,16:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-12,15:00,2018-04-12,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-13,07:45,2018-04-13,15:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-18,09:00,2018-04-18,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-19,07:45,2018-04-19,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-25,21:00,2018-04-25,24:00,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-26,00:00,2018-04-26,08:45,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-27,21:00,2018-04-27,24:00,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-28,00:00,2018-04-28,08:45,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-28,21:00,2018-04-28,24:00,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-04-29,00:00,2018-04-29,08:45,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
Jobb,2018-05-03,07:45,2018-05-03,21:15,False,"arbete på 107, en dags arbete",Nya hamngatan 77,False
